run,label,metric,direction,baseline,candidate,threshold,margin_to_threshold,passed
run_1,responsive_management_pathway,cumulative_service_harm_points_post,lower_is_better,64823.29375446918,64970.689685536745,68064.50844219264,3093.818756655899,True
run_1,responsive_management_pathway,mean_critical_overdue_units_post,lower_is_better,546.4057122702897,548.6854222266641,573.7359978838042,25.050575657140143,True
run_1,responsive_management_pathway,terminal_liability_points,lower_is_better,33905.699645716406,34017.73728880739,35601.08462800222,1583.3473391948355,True
run_1,responsive_management_pathway,mean_modeled_work_strain_pressure_post_person_month,lower_is_better,35.582448133761,35.672889128530315,37.39157054044905,1.7186814119187375,True
run_1,responsive_management_pathway,initial_high_family_involuntary_transfer_rate,lower_is_better,0.0,0.0,0.02,0.02,True
run_2,procedural_justice_pathway,cumulative_service_harm_points_post,lower_is_better,64823.29375446918,64822.72915798168,68064.50844219264,3241.779284210963,True
run_2,procedural_justice_pathway,mean_critical_overdue_units_post,lower_is_better,546.4057122702897,546.3990394397778,573.7359978838042,27.336958444026436,True
run_2,procedural_justice_pathway,terminal_liability_points,lower_is_better,33905.699645716406,33905.22068884538,35601.08462800222,1695.8639391568431,True
run_2,procedural_justice_pathway,mean_modeled_work_strain_pressure_post_person_month,lower_is_better,35.582448133761,35.52830136519782,37.39157054044905,1.863269175251233,True
run_2,procedural_justice_pathway,initial_high_family_involuntary_transfer_rate,lower_is_better,0.0,0.058823529411764705,0.02,-0.0388235294117647,False
run_3,capital_deepening_pathway,cumulative_service_harm_points_post,lower_is_better,64823.29375446918,64797.95680807639,68064.50844219264,3266.551634116251,True
run_3,capital_deepening_pathway,mean_critical_overdue_units_post,lower_is_better,546.4057122702897,546.0772730388027,573.7359978838042,27.65872484500153,True
run_3,capital_deepening_pathway,terminal_liability_points,lower_is_better,33905.699645716406,33891.35389326507,35601.08462800222,1709.7307347371534,True
run_3,capital_deepening_pathway,mean_modeled_work_strain_pressure_post_person_month,lower_is_better,35.582448133761,35.54544807307194,37.39157054044905,1.8461224673771142,True
run_3,capital_deepening_pathway,initial_high_family_involuntary_transfer_rate,lower_is_better,0.0,0.0,0.02,0.02,True
run_4,direct_staffing_pathway,cumulative_service_harm_points_post,lower_is_better,64823.29375446918,66879.19550464551,68064.50844219264,1185.3129375471326,True
run_4,direct_staffing_pathway,mean_critical_overdue_units_post,lower_is_better,546.4057122702897,578.4299110025123,573.7359978838042,-4.69391311870811,False
run_4,direct_staffing_pathway,terminal_liability_points,lower_is_better,33905.699645716406,35495.88038375192,35601.08462800222,105.20424425030069,True
run_4,direct_staffing_pathway,mean_modeled_work_strain_pressure_post_person_month,lower_is_better,35.582448133761,36.35059328792386,37.39157054044905,1.0409772525251952,True
run_4,direct_staffing_pathway,initial_high_family_involuntary_transfer_rate,lower_is_better,0.0,0.0,0.02,0.02,True
